helm,permeability
"PEPTIDE1{X1004.X1457.Q.G.X2258.X2432.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.61077233
"PEPTIDE1{P.Y.X2328.X786.Y.F.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.20240743
"PEPTIDE1{G.am_G.X277.R.G.L.A}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.30156960
"PEPTIDE1{A.Y.X1956.P.X1004.Q.X1829}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.93052914
"PEPTIDE1{X2793.X490.Y.A.Mono50.(N->O)Val.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.76754235
"PEPTIDE1{X204.Y.(N->O)Val.X824.X2432.F.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.58052939
"PEPTIDE1{X786.X305.G.Mono16.X1393.X683.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.64647467
"PEPTIDE1{X277.X956.R.X314.Mono50.X164.X2328}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.55065748
"PEPTIDE1{G.G.X2329.G.X1029.L.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.08664189
"PEPTIDE1{P.lalloHyp.X2461.Bal.dP.X683.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.80553082
"PEPTIDE1{X2671.X425.R.X2432.G.X956.X2258}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.43054617
"PEPTIDE1{G.P.Q.L.X2791.dP.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.93453363
"PEPTIDE1{Mono107.Y.dHpr.X566.Y.X1010.X1004}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.02571821
"PEPTIDE1{G.X195.G.X1004.X490.F.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.29390546
"PEPTIDE1{X1788.P.X822.G.X179.Y.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.85710573
"PEPTIDE1{R.X1800.P.G.G.X204.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.86068604
"PEPTIDE1{P.Y.L.R.G.F.X1707}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.87693927
"PEPTIDE1{R.X725.A.R.F.X2328.X956}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.45804424
"PEPTIDE1{X1294.Q.P.X2432.X956.X3016.X631}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-10.00000000
"PEPTIDE1{Y.X2442.P.X1811.P.G.X702}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.50610824
"PEPTIDE1{Q.X2442.X2516.G.X1989.G.X2791}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.64122167
"PEPTIDE1{F.R.Q.Q.P.P.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.62095429
"PEPTIDE1{P.d(N->O)Gly(allyl).X255.L.X1811.X2577.X1491}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.79002274
"PEPTIDE1{X1029.dP.dP.P.X2328.X956.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.16553662
"PEPTIDE1{P.Q.am_G.L.Y.X1956.X1895}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.22378140
"PEPTIDE1{X981.dP.X1811.P.X490.R.X49}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.77941001
"PEPTIDE1{G.Q.P.X1004.X1457.X232.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.87122249
"PEPTIDE1{P.R.X631.Q.P.Q.dR}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.12505036
"PEPTIDE1{G.P.Q.Mono60.dD.F.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.83964257
"PEPTIDE1{G.L.R.X1918.Q.R.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.39865089
"PEPTIDE1{X905.X916.Y.P.Hpr.G.X261}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.85901564
"PEPTIDE1{Q.Q.L.X2432.Y.X956.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.87769458
"PEPTIDE1{X302.d3-Pal.X569.Q.X343.X946.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.06508583
"PEPTIDE1{X824.X11.Q.Y.X683.F.X981}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.59017103
"PEPTIDE1{Y.X81.G.dHpr.X946.P.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.44791549
"PEPTIDE1{L.X786.Q.X490.X2391.R.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.89349365
"PEPTIDE1{F.Q.Q.X101.Mono107.P.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.27930860
"PEPTIDE1{Q.G.X956.P.Y.X314.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.85730134
"PEPTIDE1{X1664.X49.R.Mono50.G.G.X1004}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.77841371
"PEPTIDE1{Y.R.X305.P.G.G.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.75923876
"PEPTIDE1{X612.X1895.X1777.G.G.G.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.35036815
"PEPTIDE1{X255.G.F.G.d(N->O)Gly(allyl).Y.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.15093657
"PEPTIDE1{Q.X375.X786.X956.G.X569.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.03868143
"PEPTIDE1{X1410.P.P.L.Y.G.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.81216966
"PEPTIDE1{G.F.R.X1601.X2754.X233.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.28863012
"PEPTIDE1{G.dP.G.X1457.X1664.F.dP}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.59769162
"PEPTIDE1{L.F.L.A.Y.X591.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.19927067
"PEPTIDE1{P.Mono50.X420.dHpr.R.Y.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.80922976
"PEPTIDE1{X2432.X946.X683.dHpr.X3004.P.dP}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.70637959
"PEPTIDE1{F.R.X315.X2258.G.X2432.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.12948577
"PEPTIDE1{P.X786.G.X255.Q.F.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.74210694
"PEPTIDE1{dP.X375.X1664.P.F.F.dP}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.33323966
"PEPTIDE1{P.Hpr.P.dHpr.R.P.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.76979038
"PEPTIDE1{F.Q.F.Q.Y.(N->O)Val.X1029}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.96365268
"PEPTIDE1{Y.L.Y.P.F.R.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.78934326
"PEPTIDE1{Q.X2432.G.X956.X1410.dNle.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.24455288
"PEPTIDE1{G.lalloHyp.Q.P.G.X783.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.42417890
"PEPTIDE1{Mono106.X2577.2-Pal.X2432.P.Y.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.80691097
"PEPTIDE1{G.X1588.Y.F.X2710.F.lalloHyp}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.23874916
"PEPTIDE1{P.Y.X1918.X1956.L.G.X956}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.05132698
"PEPTIDE1{X1918.dP.G.X2465.G.dHpr.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.00487120
"PEPTIDE1{Y.Aze.X631.Q.X2432.G.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.53972592
"PEPTIDE1{X297.X1811.P.X786.X2285.X537.dHpr}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-8.10952794
"PEPTIDE1{P.L.X1777.X569.X956.X391.Q}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.15796024
"PEPTIDE1{G.R.F.P.X175.G.G}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.81733329
"PEPTIDE1{Q.X946.X591.G.X1294.X425.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.11324675
"PEPTIDE1{X1661.X490.R.X786.X1004.X573.Y}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.68847235
"PEPTIDE1{X591.F.X1895.Q.G.R.X1410}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-8.07154859
"PEPTIDE1{Y.X956.X1038.Q.G.X1004.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.08342626
"PEPTIDE1{P.L.X1393.X305.G.G.X786}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.01662835
"PEPTIDE1{X277.X622.G.Bal.X2432.X2432.X1956}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-6.70051685
"PEPTIDE1{Q.G.Y.X2432.G.G.P}$PEPTIDE1,PEPTIDE1,1:R1-7:R2$$$",-7.04880489
