symbol,smiles,cxsmiles,monomer_type,embedding_mean,embedding_std,embedding_norm,embedding_min,embedding_max
X2484,CC(=O)SCCCC[C@H](NH)C(H)=O,CC(=O)SCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0034224053,0.65273607,18.089401,-2.415509,9.460072
X414,HN(CC(H)=O)c1ccccc1,[*]N(CC([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,Backbone,-0.002537947,0.61831456,17.13538,-2.8169203,9.426755
X508,FC(F)(F)CC[C@@H](NH)C(H)=O,FC(F)(F)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone,-0.0034457196,0.60504484,16.767767,-1.9755911,8.153954
Aib_OMe,COC(=O)C(C)(C)NH,COC(=O)C(C)(C)N[*] |$;;;;;;;;_R1$|,Backbone,-0.0027513262,0.6307514,17.480062,-2.206255,6.9415946
Boc_V,CC(C)[C@H](NC(=O)OC(C)(C)C)C(H)=O,CC(C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone,-0.0026117663,0.60565567,16.784578,-1.666542,6.329714
X1648,OC(=O)COC(=O)[C@@H]1CCCN1H,OC(=O)COC(=O)[C@@H]1CCCN1[*] |$;;;;;;;;;;;;_R1$|,Backbone,-0.0030269567,0.5842727,16.192057,-1.7468852,5.939123
X2263,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C(H)=O)cc1,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone,-0.0024303172,0.57228464,15.859761,-2.4734392,7.019198
X2236,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C(H)=O,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-0.003129496,0.58024466,16.080444,-2.1199076,8.116741
X2239,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)NH)C(H)=O,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0033477433,0.6074555,16.834557,-2.087862,7.5473204
dPhe(4-Cl),Clc1ccc(C[C@@H](NH)C(H)=O)cc1,Clc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone,-0.003493987,0.6255723,17.336637,-2.8272233,9.735038
d3-Pal,HN[C@H](Cc1cccnc1)C(H)=O,[*]N[C@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone,-0.002639371,0.60507745,16.768557,-2.3632843,8.677405
H,HN[C@@H](Cc1cnc[nH]1)C(H)=O,[*]N[C@@H](Cc1cnc[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone,-0.0029025588,0.6430821,17.821796,-2.7088928,9.485826
X1,HNC1(CCCCC1)C(H)=O,[*]NC1(CCCCC1)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone,-0.0034274065,0.6200102,17.182491,-2.4978514,10.499057
X945,C[C@H]([C@@H](NH)C(H)=O)c1ccc(O)cc1,C[C@H]([C@@H](N[*])C([*])=O)c1ccc(O)cc1 |$;;;;_R1;;_R2;;;;;;;;$|,Backbone,-0.003158723,0.6118902,16.957424,-2.650595,8.820255
X807,COC(=O)[C@H](Cc1cccc(OC(=O)c2ccccc2)c1)NH,COC(=O)[C@H](Cc1cccc(OC(=O)c2ccccc2)c1)N[*] |$;;;;;;;;;;;;;;;;;;;;;;_R1$|,Backbone,-0.0029984545,0.58849627,16.309097,-2.7102249,7.636791
dSer(Bzl),HN[C@H](COCc1ccccc1)C(H)=O,[*]N[C@H](COCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone,-0.002523904,0.6289414,17.429876,-2.863342,8.921688
X1032,CCCc1ncc(C[C@H](NH)C(H)=O)[nH]1,CCCc1ncc(C[C@H](N[*])C([*])=O)[nH]1 |$;;;;;;;;;;_R1;;_R2;;$|,Backbone,-0.0027619607,0.63031447,17.467955,-2.6941035,9.27578
X824,CC1(C)CC[C@H](N1H)C(H)=O,CC1(C)CC[C@H](N1[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,-0.0033887129,0.59223723,16.41283,-2.0184271,9.949047
X1157,HN1C[C@@H](C[C@H]1C(H)=O)Oc1cccc2ccccc12,[*]N1C[C@@H](C[C@H]1C([*])=O)Oc1cccc2ccccc12 |$_R1;;;;;;;_R2;;;;;;;;;;;;$|,Backbone,-0.0028435737,0.6183245,17.135693,-2.8849673,9.779353
Me_P,CN1CCC[C@H]1C(H)=O,CN1CCC[C@H]1C([*])=O |$;;;;;;;_R2;$|,Backbone,-0.0027431224,0.64393556,17.845427,-2.6757064,8.735315
X1035,C[C@](Cc1ccccc1)(NH)C(H)=O,C[C@](Cc1ccccc1)(N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0028735164,0.60985994,16.901123,-2.700295,8.426621
X1211,CC(C)(C)c1ccc(C[C@@H](NH)C(H)=O)cc1,CC(C)(C)c1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,-0.002907085,0.58410513,16.187397,-2.8091588,8.310106
X1163,CC(C)[C@H](NH)C(=O)c1ncco1,CC(C)[C@H](N[*])C(=O)c1ncco1 |$;;;;;_R1;;;;;;;$|,Backbone,-0.0024206873,0.58800447,16.295393,-2.2714858,6.5202413
X865,COc1ccc(CCN(H)CC(H)=O)cc1,COc1ccc(CCN([*])CC([*])=O)cc1 |$;;;;;;;;;_R1;;;_R2;;;$|,Backbone,-0.0028452438,0.5582743,15.471554,-2.808629,7.3028016
X862,OC(=O)CC[C@H](NCCc1ccc2ccc3cccc4ccc1c2c34)C(H)=O,OC(=O)CC[C@H](NCCc1ccc2ccc3cccc4ccc1c2c34)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0027193024,0.57177407,15.845647,-2.5452259,6.8456345
X935,CCCNC(=N)NCCC[C@H](NH)C(H)=O,CCCNC(=N)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0037100017,0.59651995,16.531567,-1.884838,8.387345
X726,NCCCN(H)CC(H)=O,NCCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,Backbone,-0.0028663042,0.66191006,18.343561,-2.9077046,9.715068
X1697,COC(=O)CCCCC[C@H](NH)C(H)=O,COC(=O)CCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0034109566,0.64938414,17.99651,-2.498532,8.766483
X1935,COC(=O)COC[C@@H](NH)C(H)=O,COC(=O)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0030179247,0.64099234,17.763897,-2.3459506,8.509099
X1971,NC(=N)NCC[C@@H]1CCN(H)[C@@H]1C(H)=O,NC(=N)NCC[C@@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;;;;;;_R1;;;_R2;$|,Backbone,-0.0038382325,0.5962021,16.52278,-2.6687756,8.317402
