Symbol,CXSMILES,Monomer_Type,R1,R2,R3,processed_smiles,failure_reason
X1915,CC(C)(C)[Si](C)(C)OCC(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-,CC(C)(C)[Si](C)(C)OCC(=C)COC[C@@H](NH)C(H)=O,complex_structure
X1770,"[*]N1N=CC=C[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:2,4|",Backbone,H,OH,-,"HN1N=CC=C[C@H]1C(H)=O |$_R1;;;;;;;;_R2;$,c:2,4|",complex_structure
X1854,"CCC=CC[C@@H](C)C[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCC=CC[C@@H](C)C[C@H](N(C)H)C(H)=O |w:3.3,$;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X2818,"NC(=[NH+]CCC[C@H](N[*])C([*])=O)N1CCCC1 |w:2.2,$;;;;;;;;_R1;;_R2;;;;;;$|",Backbone,H,OH,-,"NC(=[NH+]CCC[C@H](NH)C(H)=O)N1CCCC1 |w:2.2,$;;;;;;;;_R1;;_R2;;;;;;$|",complex_structure
X1481,"OC(=O)[C@@H](CC1=CCCC=C1)N[*] |$;;;;;;;;;;;;_R1$,c:9,t:5|",Backbone,H,-,-,"OC(=O)[C@@H](CC1=CCCC=C1)NH |$;;;;;;;;;;;;_R1$,c:9,t:5|",complex_structure
X242,"CC(C)=CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"CC(C)=CCCC(C)=CC[C@]12C[C@H](N(H)[C@H]1Nc1ccccc21)C(H)=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",complex_structure
X572,"FC(F)(F)CNC(NCCCC[C@@H](N[*])C([*])=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",Backbone,H,OH,-,"FC(F)(F)CNC(NCCCC[C@@H](NH)C(H)=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",complex_structure
X200,"OC(=O)[C@@H](N[*])C=CCP(O)(O)=O |w:7.7,$;;;;;_R1;;;;;;;$|",Backbone,H,-,-,"OC(=O)[C@@H](NH)C=CCP(O)(O)=O |w:7.7,$;;;;;_R1;;;;;;;$|",complex_structure
X1632,"CC(C)CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"CC(C)CCCC(C)=CC[C@]12C[C@H](N(H)[C@H]1Nc1ccccc21)C(H)=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",complex_structure
X1588,"CCCCCCN=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCCCCCN=C(NCCCC[C@@H](NH)C(H)=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X2356,"CS(=O)(=O)CCC=C[C@H](NC(=O)OCc1ccccc1)C([*])=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,-,OH,-,"CS(=O)(=O)CCC=C[C@H](NC(=O)OCc1ccccc1)C(H)=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X7,"FC(F)(F)CNC(NCCCC[C@H](N[*])C([*])=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",Backbone,H,OH,-,"FC(F)(F)CNC(NCCCC[C@H](NH)C(H)=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",complex_structure
X1678,"CSCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:7.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CSCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:7.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1877,"CN([*])[C@@H]([C@H](O)C(C)=CCCC[N-][N+]#N)C([*])=O |w:8.8,$;;_R1;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"CN(H)[C@@H]([C@H](O)C(C)=CCCC[N-][N+]#N)C(H)=O |w:8.8,$;;_R1;;;;;;;;;;;;;;_R2;$|",complex_structure
X1740,"C[C@H](CC=CC(=O)OCCF)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.2,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"C[C@H](CC=CC(=O)OCCF)[C@@H](O)[C@H](N(C)H)C(H)=O |w:3.2,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1797,"CN(C)C[C@@H]1C[C@H](N([*])N=C1)C([*])=O |$;;;;;;;;_R1;;;;_R2;$,c:9|",Backbone,H,OH,-,"CN(C)C[C@@H]1C[C@H](N(H)N=C1)C(H)=O |$;;;;;;;;_R1;;;;_R2;$,c:9|",complex_structure
X1437,"[*]N[C@@H](CCCN=C(NCc1ccccn1)NC#N)C([*])=O |w:6.5,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@@H](CCCN=C(NCc1ccccn1)NC#N)C(H)=O |w:6.5,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X575,"[*]N[C@@H](CC1=NCNC1)C([*])=O |$_R1;;;;;;;;;;_R2;$,t:4|",Backbone,H,OH,-,"HN[C@@H](CC1=NCNC1)C(H)=O |$_R1;;;;;;;;;;_R2;$,t:4|",complex_structure
X1549,"CC=CCC[C@H](N[*])C([*])=O |w:1.0,$;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CCC[C@H](NH)C(H)=O |w:1.0,$;;;;;;;_R1;;_R2;$|",complex_structure
X2377,"OCC=C1O[C@@H]2CC(=O)N2[C@H]1C([*])=O |w:2.1,$;;;;;;;;;;;;_R2;$|",Backbone,-,OH,-,"OCC=C1O[C@@H]2CC(=O)N2[C@H]1C(H)=O |w:2.1,$;;;;;;;;;;;;_R2;$|",complex_structure
X905,"[*]N1CC=C[C@H]1C([*])=O |$_R1;;;;;;;_R2;$,c:3|",Backbone,H,OH,-,"HN1CC=C[C@H]1C(H)=O |$_R1;;;;;;;_R2;$,c:3|",complex_structure
X2879,"FC(F)(F)CNC(=N)NCCC[C@H](N[*])C([*])=O |w:5.4,$;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"FC(F)(F)CNC(=N)NCCC[C@H](NH)C(H)=O |w:5.4,$;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1113,"[*]N1CC=CC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:3|",Backbone,H,OH,-,"HN1CC=CC[C@@H]1C(H)=O |$_R1;;;;;;;;_R2;$,c:3|",complex_structure
X1682,"C[C@H](C=CCC(O)=O)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"C[C@H](C=CCC(O)=O)[C@@H](O)[C@H](N(C)H)C(H)=O |w:3.3,$;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1899,"OCC=CCOC[C@@H](N[*])C([*])=O |w:3.3,$;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"OCC=CCOC[C@@H](NH)C(H)=O |w:3.3,$;;;;;;;;;_R1;;_R2;$|",complex_structure
X18,"CCNC(NCCCC[C@@H](N[*])C([*])=O)=NCC |w:15.15,2.1,$;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCNC(NCCCC[C@@H](NH)C(H)=O)=NCC |w:15.15,2.1,$;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X2105,"N[C@@H](CC=CC[C@H](N[*])C(O)=O)C([*])=O |w:4.4,$;;;;;;;;_R1;;;;;_R2;$|",Backbone,H,OH,-,"N[C@@H](CC=CC[C@H](NH)C(O)=O)C(H)=O |w:4.4,$;;;;;;;;_R1;;;;;_R2;$|",complex_structure
X175,"CNC(NCCCC[C@@H](N[*])C([*])=O)=NC |w:14.14,1.0,$;;;;;;;;;;_R1;;_R2;;;$|",Backbone,H,OH,-,"CNC(NCCCC[C@@H](NH)C(H)=O)=NC |w:14.14,1.0,$;;;;;;;;;;_R1;;_R2;;;$|",complex_structure
X314,"CCCCSNC(NC#N)=NCCCC[C@@H](N[*])C([*])=O |w:10.10,$;;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCCCSNC(NC#N)=NCCCC[C@@H](NH)C(H)=O |w:10.10,$;;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
