symbol,smiles,cxsmiles,monomer_type
X2484,CC(=O)SCCCC[C@H](NH)C(H)=O,CC(=O)SCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone
X414,HN(CC(H)=O)c1ccccc1,[*]N(CC([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,Backbone
X508,FC(F)(F)CC[C@@H](NH)C(H)=O,FC(F)(F)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
Aib_OMe,COC(=O)C(C)(C)NH,COC(=O)C(C)(C)N[*] |$;;;;;;;;_R1$|,Backbone
Boc_V,CC(C)[C@H](NC(=O)OC(C)(C)C)C(H)=O,CC(C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X1648,OC(=O)COC(=O)[C@@H]1CCCN1H,OC(=O)COC(=O)[C@@H]1CCCN1[*] |$;;;;;;;;;;;;_R1$|,Backbone
X2263,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C(H)=O)cc1,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone
X2236,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C(H)=O,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
X2239,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)NH)C(H)=O,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
dPhe(4-Cl),Clc1ccc(C[C@@H](NH)C(H)=O)cc1,Clc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone
d3-Pal,HN[C@H](Cc1cccnc1)C(H)=O,[*]N[C@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone
H,HN[C@@H](Cc1cnc[nH]1)C(H)=O,[*]N[C@@H](Cc1cnc[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone
