symbol,smiles,cxsmiles,monomer_type
X1915,CC(C)(C)[Si](C)(C)OCC(=C)COC[C@@H](NH)C(H)=O,CC(C)(C)[Si](C)(C)OCC(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
X1770,HN1N=CC=C[C@H]1C(H)=O,"[*]N1N=CC=C[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:2,4|",Backbone
X1854,CCC=CC[C@@H](C)C[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;,"CCC=CC[C@@H](C)C[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;_R1;;_R2;$|",Backbone
X2818,NC(=[NH+]CCC[C@H](NH)C(H)=O)N1CCCC1;;;;;;;;;;;;;;;;,"NC(=[NH+]CCC[C@H](N[*])C([*])=O)N1CCCC1 |w:2.2,$;;;;;;;;_R1;;_R2;;;;;;$|",Backbone
X1481,OC(=O)[C@@H](CC1=CCCC=C1)NH,"OC(=O)[C@@H](CC1=CCCC=C1)N[*] |$;;;;;;;;;;;;_R1$,c:9,t:5|",Backbone
X242,CC(C)=CCCC(C)=CC[C@]12C[C@H](N(H)[C@H]1Nc1ccccc21)C(H)=O;;;;;;;;;;;;;;;;;;;;;;;;;,"CC(C)=CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone
X572,FC(F)(F)CNC(NCCCC[C@@H](NH)C(H)=O)=NCC(F)(F)F;;;;;;;;;;;;;;;;;;;;;;;,"FC(F)(F)CNC(NCCCC[C@@H](N[*])C([*])=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",Backbone
X200,OC(=O)[C@@H](NH)C=CCP(O)(O)=O;;;;;;;;;;;;,"OC(=O)[C@@H](N[*])C=CCP(O)(O)=O |w:7.7,$;;;;;_R1;;;;;;;$|",Backbone
X1632,CC(C)CCCC(C)=CC[C@]12C[C@H](N(H)[C@H]1Nc1ccccc21)C(H)=O;;;;;;;;;;;;;;;;;;;;;;;;;,"CC(C)CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone
X1588,CCCCCCN=C(NCCCC[C@@H](NH)C(H)=O)NC#N;;;;;;;;;;;;;;;;;;;;;,"CCCCCCN=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
X2356,CS(=O)(=O)CCC=C[C@H](NC(=O)OCc1ccccc1)C(H)=O;;;;;;;;;;;;;;;;;;;;;;,"CS(=O)(=O)CCC=C[C@H](NC(=O)OCc1ccccc1)C([*])=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone
X7,FC(F)(F)CNC(NCCCC[C@H](NH)C(H)=O)=NCC(F)(F)F;;;;;;;;;;;;;;;;;;;;;;;,"FC(F)(F)CNC(NCCCC[C@H](N[*])C([*])=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",Backbone
X1678,CSCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;;;;;;,"CSCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:7.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1877,CN(H)[C@@H]([C@H](O)C(C)=CCCC[N-][N+]#N)C(H)=O;;;;;;;;;;;;;;;;;,"CN([*])[C@@H]([C@H](O)C(C)=CCCC[N-][N+]#N)C([*])=O |w:8.8,$;;_R1;;;;;;;;;;;;;;_R2;$|",Backbone
X1740,C[C@H](CC=CC(=O)OCCF)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;;;;;;,"C[C@H](CC=CC(=O)OCCF)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.2,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1797,CN(C)C[C@@H]1C[C@H](N(H)N=C1)C(H)=O,"CN(C)C[C@@H]1C[C@H](N([*])N=C1)C([*])=O |$;;;;;;;;_R1;;;;_R2;$,c:9|",Backbone
X1437,HN[C@@H](CCCN=C(NCc1ccccn1)NC#N)C(H)=O;;;;;;;;;;;;;;;;;;;;;,"[*]N[C@@H](CCCN=C(NCc1ccccn1)NC#N)C([*])=O |w:6.5,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone
X575,HN[C@@H](CC1=NCNC1)C(H)=O,"[*]N[C@@H](CC1=NCNC1)C([*])=O |$_R1;;;;;;;;;;_R2;$,t:4|",Backbone
X1549,CC=CCC[C@H](NH)C(H)=O;;;;;;;;;;,"CC=CCC[C@H](N[*])C([*])=O |w:1.0,$;;;;;;;_R1;;_R2;$|",Backbone
X2377,OCC=C1O[C@@H]2CC(=O)N2[C@H]1C(H)=O;;;;;;;;;;;;;,"OCC=C1O[C@@H]2CC(=O)N2[C@H]1C([*])=O |w:2.1,$;;;;;;;;;;;;_R2;$|",Backbone
X905,HN1CC=C[C@H]1C(H)=O,"[*]N1CC=C[C@H]1C([*])=O |$_R1;;;;;;;_R2;$,c:3|",Backbone
X2879,FC(F)(F)CNC(=N)NCCC[C@H](NH)C(H)=O;;;;;;;;;;;;;;;;;,"FC(F)(F)CNC(=N)NCCC[C@H](N[*])C([*])=O |w:5.4,$;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1113,HN1CC=CC[C@@H]1C(H)=O,"[*]N1CC=CC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:3|",Backbone
X1682,C[C@H](C=CCC(O)=O)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;;;,"C[C@H](C=CCC(O)=O)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1899,OCC=CCOC[C@@H](NH)C(H)=O;;;;;;;;;;;;,"OCC=CCOC[C@@H](N[*])C([*])=O |w:3.3,$;;;;;;;;;_R1;;_R2;$|",Backbone
X18,CCNC(NCCCC[C@@H](NH)C(H)=O)=NCC;;;;;;;;;;;;;;;;;,"CCNC(NCCCC[C@@H](N[*])C([*])=O)=NCC |w:15.15,2.1,$;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
X2105,N[C@@H](CC=CC[C@H](NH)C(O)=O)C(H)=O;;;;;;;;;;;;;;,"N[C@@H](CC=CC[C@H](N[*])C(O)=O)C([*])=O |w:4.4,$;;;;;;;;_R1;;;;;_R2;$|",Backbone
X175,CNC(NCCCC[C@@H](NH)C(H)=O)=NC;;;;;;;;;;;;;;;,"CNC(NCCCC[C@@H](N[*])C([*])=O)=NC |w:14.14,1.0,$;;;;;;;;;;_R1;;_R2;;;$|",Backbone
X314,CCCCSNC(NC#N)=NCCCC[C@@H](NH)C(H)=O;;;;;;;;;;;;;;;;;;;;,"CCCCSNC(NC#N)=NCCCC[C@@H](N[*])C([*])=O |w:10.10,$;;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1589,CCCCCCN=C(NCCCC[C@H](NH)C(H)=O)NC#N;;;;;;;;;;;;;;;;;;;;;,"CCCCCCN=C(NCCCC[C@H](N[*])C([*])=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
X590,HN1C[C@H](C[C@H]1C(H)=O)n1cc(nn1)C1=CCCCC1,"[*]N1C[C@H](C[C@H]1C([*])=O)n1cc(nn1)C1=CCCCC1 |$_R1;;;;;;;_R2;;;;;;;;;;;;$,t:16|",Backbone
X1350,CCCCN=C(NCCC[C@H](NH)C(H)=O)NC#N;;;;;;;;;;;;;;;;;;,"CCCCN=C(NCCC[C@H](N[*])C([*])=O)NC#N |w:4.3,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
