symbol,smiles,cxsmiles,monomer_type
X2484,CC(=O)SCCCC[C@H](N)C=O,CC(=O)SCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone
X414,O=CCNc1ccccc1,[*]N(CC([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,Backbone
X508,N[C@@H](C=O)CCC(F)(F)F,FC(F)(F)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
Aib_OMe,COC(=O)C(C)(C)N,COC(=O)C(C)(C)N[*] |$;;;;;;;;_R1$|,Backbone
Boc_V,CC(C)[C@@H](C=O)NC(=O)OC(C)(C)C,CC(C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X1648,O=C(O)COC(=O)[C@@H]1CCCN1,OC(=O)COC(=O)[C@@H]1CCCN1[*] |$;;;;;;;;;;;;_R1$|,Backbone
X2263,O=C[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OCc1ccccc1,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone
X2236,C[N+](C)(C)[C@H](C=O)Cc1ccc(O)cc1,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
X2239,N=C(N)NCCC[C@@H](C=O)NCCCCCC(=O)[C@@H](N)CC(=O)O,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
dPhe(4-Cl),N[C@@H](C=O)Cc1ccc(Cl)cc1,Clc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone
d3-Pal,N[C@@H](C=O)Cc1cccnc1,[*]N[C@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone
H,N[C@H](C=O)Cc1cnc[nH]1,[*]N[C@@H](Cc1cnc[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone
X1,NC1(C=O)CCCCC1,[*]NC1(CCCCC1)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone
X945,C[C@@H](c1ccc(O)cc1)[C@@H](N)C=O,C[C@H]([C@@H](N[*])C([*])=O)c1ccc(O)cc1 |$;;;;_R1;;_R2;;;;;;;;$|,Backbone
X807,COC(=O)[C@@H](N)Cc1cccc(OC(=O)c2ccccc2)c1,COC(=O)[C@H](Cc1cccc(OC(=O)c2ccccc2)c1)N[*] |$;;;;;;;;;;;;;;;;;;;;;;_R1$|,Backbone
dSer(Bzl),N[C@@H](C=O)COCc1ccccc1,[*]N[C@H](COCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
